Study,Species,LabId,Conc
Bowden,Cer d18:1/16:0,1,0.226
Bowden,Cer d18:1/16:0,2,1.8371
Bowden,Cer d18:1/16:0,3,0.2803
Bowden,Cer d18:1/16:0,4,0.2121
Bowden,Cer d18:1/16:0,5,0.2803
Bowden,Cer d18:1/16:0,7,0.6389
Bowden,Cer d18:1/16:0,9,0.6465
Bowden,Cer d18:1/16:0,10,0.1818
Bowden,Cer d18:1/16:0,11,0.2071
Bowden,Cer d18:1/16:0,12,0.3081
Bowden,Cer d18:1/16:0,14,0.1414
Bowden,Cer d18:1/16:0,19,0.4015
Bowden,Cer d18:1/16:0,20,0.2273
Bowden,Cer d18:1/16:0,24,0.346
Bowden,Cer d18:1/16:0,27,0.0189
Bowden,Cer d18:1/18:0,2,0.1265
Bowden,Cer d18:1/18:0,3,0.05
Bowden,Cer d18:1/18:0,4,0.0898
Bowden,Cer d18:1/18:0,5,0.0848
Bowden,Cer d18:1/18:0,7,0.353
Bowden,Cer d18:1/18:0,9,0.2303
Bowden,Cer d18:1/18:0,10,0.0485
Bowden,Cer d18:1/18:0,12,0.1144
Bowden,Cer d18:1/18:0,13,0.4924
Bowden,Cer d18:1/18:0,14,0.0742
Bowden,Cer d18:1/18:0,19,0.128
Bowden,Cer d18:1/18:0,20,0.1182
Bowden,Cer d18:1/18:0,24,0.1432
Bowden,Cer d18:1/24:0,1,1.351
Bowden,Cer d18:1/24:0,2,1.9192
Bowden,Cer d18:1/24:0,3,5.7828
Bowden,Cer d18:1/24:0,4,1.8056
Bowden,Cer d18:1/24:0,5,2.2222
Bowden,Cer d18:1/24:0,7,4.0909
Bowden,Cer d18:1/24:0,9,4.2045
Bowden,Cer d18:1/24:0,10,1.0859
Bowden,Cer d18:1/24:0,11,1.8434
Bowden,Cer d18:1/24:0,12,2.6515
Bowden,Cer d18:1/24:0,13,0.5303
Bowden,Cer d18:1/24:0,14,0.6313
Bowden,Cer d18:1/24:0,18,8.0303
Bowden,Cer d18:1/24:0,19,5.1389
Bowden,Cer d18:1/24:0,20,1.8939
Bowden,Cer d18:1/24:0,23,1.7551
Bowden,Cer d18:1/24:0,24,8.4343
Bowden,Cer d18:1/24:0,27,0.8207
Bowden,Cer d18:1/24:1,1,0.7828
Bowden,Cer d18:1/24:1,2,1.0051
Bowden,Cer d18:1/24:1,3,1.0404
Bowden,Cer d18:1/24:1,4,0.5909
Bowden,Cer d18:1/24:1,5,0.6465
Bowden,Cer d18:1/24:1,7,1.0808
Bowden,Cer d18:1/24:1,9,1.8687
Bowden,Cer d18:1/24:1,10,0.3687
Bowden,Cer d18:1/24:1,11,0.4848
Bowden,Cer d18:1/24:1,12,1.2525
Bowden,Cer d18:1/24:1,13,0.7323
Bowden,Cer d18:1/24:1,14,0.7879
Bowden,Cer d18:1/24:1,18,3.2626
Bowden,Cer d18:1/24:1,19,2.101
Bowden,Cer d18:1/24:1,20,0.5859
Bowden,Cer d18:1/24:1,23,0.8333
Bowden,Cer d18:1/24:1,24,0.8182
Bowden,Cer d18:1/24:1,27,0.0909
