Matrix,Ceramide,"N
(SOP)","N
(OTHER)","μ
(SOP)","μ
(OTHER)",P value,"%CV
(SOP)","%CV
(OTHER)"
SRM,Cer 18:1;O2/16:0,21,14,0.2437857626044079,0.2438997314896122,0.9926301779710529,12.89587746865298,15.500026235545194
SRM,Cer 18:1;O2/18:0,21,10,0.08269061986002477,0.08511213606929131,0.5018852584956991,12.420996388062523,10.196706221681056
SRM,Cer 18:1;O2/24:0,20,15,2.446349946518603,2.3652124928499108,0.31911058966774714,11.020836897148243,8.66350646503623
SRM,Cer 18:1;O2/24:1,20,11,0.8574783155193892,0.8516514654256517,0.8234888361827859,9.168159970821177,7.380006725457293
hTAG,Cer 18:1;O2/16:0,20,15,0.29536444913315224,0.2800809393745713,0.24418786471015264,11.42428360689493,14.36349008474061
hTAG,Cer 18:1;O2/18:0,20,11,0.09936046745343692,0.09988578305722784,0.9056827933093659,10.670970559823392,12.200470361439802
hTAG,Cer 18:1;O2/24:0,21,15,3.882570850626436,3.598331943984162,0.05979893625799996,12.066793104896396,11.18449059734318
hTAG,Cer 18:1;O2/24:1,20,13,1.2808364346768841,1.2745429318471582,0.9154946710786739,10.856937783259827,14.05356365699903
DB,Cer 18:1;O2/16:0,21,14,0.2177423355037477,0.21353959480881016,0.7017959031868373,14.219296506866586,14.902567989617152
DB,Cer 18:1;O2/18:0,21,11,0.09447358700880132,0.10051759470685574,0.1797194274280704,11.289814082310075,12.05628317409487
DB,Cer 18:1;O2/24:0,21,15,2.444623473883272,2.34056211476984,0.2618060001954359,12.909905795976274,9.89120382201568
DB,Cer 18:1;O2/24:1,21,12,0.8663741512762795,0.8661761872974639,0.9953864534050969,12.678973846181599,9.607127161773564
YAA,Cer 18:1;O2/16:0,20,14,0.14682051409108582,0.142446080602806,0.590365229979792,15.378925193130822,16.40584312469909
YAA,Cer 18:1;O2/18:0,21,13,0.04820728702195958,0.051234457728700604,0.4109988409242694,15.30263977243832,22.635964561785286
YAA,Cer 18:1;O2/24:0,21,14,1.7039466888055383,1.5653146475860888,0.05223779922841991,14.022851092370004,10.739552260427683
YAA,Cer 18:1;O2/24:1,21,12,0.5466747587420228,0.5609062600838421,0.6446953546426792,12.958539213455383,16.141159732519718
